" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Вино - Украина - Красное крепленое" ;" 4140" ;" вино Портв.Алькадар Інкерман 0.75" ;" 1" ;" 84,40" ;" " ;" " ;" 84,40" 
" Вино - Украина - Красное крепленое" ;" 4231" ;" вино Кагор Коблево Селект 0.75" ;" 1" ;" 44,00" ;" " ;" " ;" 44,00" 
" Вино - Украина - Красное крепленое" ;" 4437" ;" вино Кагор Ю.Б дес.кр.0.75(Мас)" ;" 3" ;" 252,00" ;" " ;" " ;" 252,00" 
" Вино - Украина - Красное крепленое" ;" 4439" ;" вино Мускатель Ю.Б кр.дес.0.75(Мас)" ;" 3" ;" 249,90" ;" " ;" " ;" 249,90" 
" Вино - Украина - Красное крепленое" ;" 4666" ;" вино Кагор Болград 0.75" ;" 2" ;" 84,80" ;" " ;" " ;" 84,80" 
" Вино - Украина - Красное крепленое" ;" 4735" ;" Вино Такадо Вишня 0.7" ;" 2" ;" 100,00" ;" " ;" " ;" 100,00" 
" Вино - Украина - Красное п/слад" ;" 684" ;" вино Древний Херсонес 0.75" ;" 1" ;" 76,00" ;" " ;" " ;" 76,00" 
" Вино - Украина - Красное п/слад" ;" 689" ;" вино Пино Нуар 0.75" ;" 1" ;" 46,30" ;" " ;" " ;" 46,30" 
" Вино - Украина - Красное п/слад" ;" 932" ;" вино Монте Руж 0.7" ;" 1" ;" 56,20" ;" " ;" " ;" 56,20" 
" Вино - Украина - Красное п/слад" ;" 971" ;" вино Жозефина 0,7" ;" 2" ;" 84,00" ;" " ;" " ;" 84,00" 
" Вино - Украина - Красное п/слад" ;" 972" ;" вино Бастардо Коблево 0.7" ;" 1" ;" 44,10" ;" " ;" " ;" 44,10" 
" Вино - Украина - Красное п/слад" ;" 1297" ;" вино Монте Розе 0.7" ;" 2" ;" 114,00" ;" " ;" " ;" 114,00" 
" Вино - Украина - Красное п/слад" ;" 2633" ;" вино Кримська  Ривьера 0.75 чер." ;" 1" ;" 65,30" ;" " ;" " ;" 65,30" 
" Вино - Украина - Красное п/слад" ;" 2926" ;" вино"Рубін Криму"3л.чер.н/сол." ;" 14" ;" 2 268,00" ;" 41" ;" 12 300,00" ;" 14 568,00" 
" Вино - Украина - Красное п/слад" ;" 3595" ;" вино Мерло Котнар чер.н/сол 0.75" ;" 6" ;" 318,00" ;" " ;" " ;" 318,00" 
" Вино - Украина - Красное п/слад" ;" 3710" ;" вино Коблево Черном Рівьера 0.75" ;" 1" ;" 62,40" ;" " ;" " ;" 62,40" 
" Вино - Украина - Красное п/слад" ;" 3883" ;" "Рубін Криму"0.7 вино стол. чер.н/сол" ;" 7" ;" 378,00" ;" 14" ;" 6 300,00" ;" 6 678,00" 
" Вино - Украина - Красное п/слад" ;" 3921" ;" Вино Люстдорф Бастардо 0.75" ;" 1" ;" 56,00" ;" " ;" " ;" 56,00" 
" Вино - Украина - Красное п/слад" ;" 4236" ;" вино Болград Шато де Він чер.0.75" ;" 3" ;" 126,00" ;" " ;" " ;" 126,00" 
" Вино - Украина - Красное п/слад" ;" 4399" ;" вино Азнаурі Піросмані 0.75" ;" 1" ;" 60,00" ;" " ;" " ;" 60,00" 
" Вино - Украина - Красное п/слад" ;" 4454" ;" вино Азнаурі Алаз.дол.чер.н/сол.0.75" ;" 4" ;" 240,00" ;" " ;" " ;" 240,00" 
" Вино - Украина - Красное п/слад" ;" 4696" ;" вино Буссо Червоне  0.75" ;" 2" ;" 84,00" ;" " ;" " ;" 84,00" 
" Вино - Украина - Красное п/сух" ;" 686" ;" вино Инкерман  красное 0.75" ;" 3" ;" 219,00" ;" " ;" " ;" 219,00" 
" Вино - Украина - Красное сухое" ;" 1151" ;" вино Рубин Херсонесу 0.75" ;" 2" ;" 134,00" ;" " ;" " ;" 134,00" 
" Вино - Украина - Красное сухое" ;" 3646" ;" вино Інкерман Мерло/каберне 0.75" ;" 4" ;" 266,00" ;" " ;" " ;" 266,00" 
" Вино - Украина - Красное сухое" ;" 4220" ;" вино Котнар Хіл чер сухе 0.75" ;" 1" ;" 52,70" ;" " ;" " ;" 52,70" 
" Вино - Украина - Красное сухое" ;" 4499" ;" вино Азнаурі Сапераві 0.75" ;" 2" ;" 130,00" ;" " ;" " ;" 130,00" 
" Вино - Украина - Красное сухое" ;" 4657" ;" вино Каберне (Мас.)0.75" ;" 1" ;" 66,60" ;" " ;" " ;" 66,60" 
" Вино - Франция - Белое п/слад" ;" 1165" ;" вино Жарден дю Рой Блан 0.75" ;" 6" ;" 618,00" ;" " ;" " ;" 618,00" 
" Вино - Франция - Белое п/слад" ;" 4355" ;" вино Родже Аджу 0.75" ;" 1" ;" 173,00" ;" " ;" " ;" 173,00" 
" Вино - Франция - Белое п/слад" ;" 4613" ;" вино Сhateau Ried Bellevue 0.75" ;" 3" ;" 591,00" ;" " ;" " ;" 591,00" 
" Вино - Франция - Белое п/сух" ;" 1124" ;" вино Пюлиньи Монраше бел.сух 0,75" ;" 1" ;" 624,00" ;" " ;" " ;" 624,00" 
" Вино - Франция - Белое п/сух" ;" 1520" ;" вино"Барон Лірондо"біле н/сухе 0.75" ;" 1" ;" 175,00" ;" " ;" " ;" 175,00" 
